time: 180634, epoch: 1, step: 217, outputs are [6.770234]
time: 180687, epoch: 1, step: 218, outputs are [6.799154]
time: 180736, epoch: 1, step: 219, outputs are [7.0297017]
time: 180784, epoch: 1, step: 220, outputs are [7.109178]
time: 180831, epoch: 1, step: 221, outputs are [7.1319404]
time: 180885, epoch: 1, step: 222, outputs are [7.0665536]
time: 180932, epoch: 1, step: 223, outputs are [7.017151]
time: 180984, epoch: 1, step: 224, outputs are [6.8949957]
time: 181032, epoch: 1, step: 225, outputs are [6.821003]
time: 181084, epoch: 1, step: 226, outputs are [6.799114]
time: 181131, epoch: 1, step: 227, outputs are [7.0797157]
time: 181175, epoch: 1, step: 228, outputs are [7.0375576]
time: 181225, epoch: 1, step: 229, outputs are [7.1040826]
time: 181279, epoch: 1, step: 230, outputs are [6.8257685]
time: 181323, epoch: 1, step: 231, outputs are [6.985379]
time: 181377, epoch: 1, step: 232, outputs are [6.7702622]
time: 181423, epoch: 1, step: 233, outputs are [6.9504223]
time: 181477, epoch: 1, step: 234, outputs are [6.8071456]
time: 181525, epoch: 1, step: 235, outputs are [6.5552053]
time: 181577, epoch: 1, step: 236, outputs are [6.74193]
time: 181621, epoch: 1, step: 237, outputs are [6.8095717]
time: 181668, epoch: 1, step: 238, outputs are [6.685956]
time: 181716, epoch: 1, step: 239, outputs are [6.662983]
time: 181760, epoch: 1, step: 240, outputs are [6.748862]
time: 181808, epoch: 1, step: 241, outputs are [7.0461335]
time: 181856, epoch: 1, step: 242, outputs are [7.0347137]
time: 181903, epoch: 1, step: 243, outputs are [7.0024457]
time: 181952, epoch: 1, step: 244, outputs are [7.131886]
time: 181998, epoch: 1, step: 245, outputs are [7.030763]
time: 182050, epoch: 1, step: 246, outputs are [7.0994945]
time: 182096, epoch: 1, step: 247, outputs are [6.709787]
time: 182148, epoch: 1, step: 248, outputs are [6.534671]
time: 182193, epoch: 1, step: 249, outputs are [6.7431316]
time: 182251, epoch: 1, step: 250, outputs are [6.5443993]
time: 182297, epoch: 1, step: 251, outputs are [7.0769296]
time: 182349, epoch: 1, step: 252, outputs are [7.012925]
time: 182397, epoch: 1, step: 253, outputs are [6.813176]
time: 182451, epoch: 1, step: 254, outputs are [6.8055167]
time: 182499, epoch: 1, step: 255, outputs are [6.9413795]
time: 182548, epoch: 1, step: 256, outputs are [6.818156]
time: 182595, epoch: 1, step: 257, outputs are [7.158499]
time: 182640, epoch: 1, step: 258, outputs are [6.581736]
time: 182689, epoch: 1, step: 259, outputs are [6.393906]
time: 182734, epoch: 1, step: 260, outputs are [6.542979]
time: 182784, epoch: 1, step: 261, outputs are [6.3976054]
time: 182829, epoch: 1, step: 262, outputs are [6.4848604]
time: 182878, epoch: 1, step: 263, outputs are [6.9431314]
time: 182920, epoch: 1, step: 264, outputs are [6.8261733]
time: 182964, epoch: 1, step: 265, outputs are [6.9381156]
time: 183006, epoch: 1, step: 266, outputs are [6.892715]
time: 183052, epoch: 1, step: 267, outputs are [6.906708]
time: 183098, epoch: 1, step: 268, outputs are [6.6262884]
time: 183148, epoch: 1, step: 269, outputs are [6.4429646]
time: 183195, epoch: 1, step: 270, outputs are [6.566194]
time: 183240, epoch: 1, step: 271, outputs are [6.681772]
time: 183285, epoch: 1, step: 272, outputs are [6.9305]
time: 183330, epoch: 1, step: 273, outputs are [6.681135]
time: 183376, epoch: 1, step: 274, outputs are [6.9799733]
time: 183421, epoch: 1, step: 275, outputs are [6.848465]
time: 183468, epoch: 1, step: 276, outputs are [6.766131]
time: 183512, epoch: 1, step: 277, outputs are [6.5973754]
time: 183560, epoch: 1, step: 278, outputs are [6.672059]
time: 183607, epoch: 1, step: 279, outputs are [6.7525787]
time: 183654, epoch: 1, step: 280, outputs are [6.6122446]
time: 183701, epoch: 1, step: 281, outputs are [6.453238]
time: 183747, epoch: 1, step: 282, outputs are [6.350829]
time: 183792, epoch: 1, step: 283, outputs are [6.6174245]
time: 183838, epoch: 1, step: 284, outputs are [6.5026336]
time: 183884, epoch: 1, step: 285, outputs are [6.4150643]
time: 183937, epoch: 1, step: 286, outputs are [6.466293]
time: 183987, epoch: 1, step: 287, outputs are [6.5360293]
time: 184032, epoch: 1, step: 288, outputs are [6.704747]
time: 184078, epoch: 1, step: 289, outputs are [6.870879]
time: 184126, epoch: 1, step: 290, outputs are [6.846326]
time: 184172, epoch: 1, step: 291, outputs are [6.5637455]
time: 184219, epoch: 1, step: 292, outputs are [6.9045115]
time: 184266, epoch: 1, step: 293, outputs are [6.7040553]
time: 184314, epoch: 1, step: 294, outputs are [6.6962566]
time: 184362, epoch: 1, step: 295, outputs are [6.9537916]
time: 184409, epoch: 1, step: 296, outputs are [6.9275994]
time: 184454, epoch: 1, step: 297, outputs are [6.4870224]
time: 184499, epoch: 1, step: 298, outputs are [6.4099026]
time: 184552, epoch: 1, step: 299, outputs are [6.4457874]
time: 184598, epoch: 1, step: 300, outputs are [6.5486717]
time: 184652, epoch: 1, step: 301, outputs are [6.8807483]
time: 184695, epoch: 1, step: 302, outputs are [6.7792516]
time: 184751, epoch: 1, step: 303, outputs are [6.4581795]
time: 184799, epoch: 1, step: 304, outputs are [6.839365]
time: 184852, epoch: 1, step: 305, outputs are [6.6572504]
time: 184900, epoch: 1, step: 306, outputs are [6.746828]
time: 184952, epoch: 1, step: 307, outputs are [6.7423396]
time: 185001, epoch: 1, step: 308, outputs are [6.402905]
time: 185052, epoch: 1, step: 309, outputs are [6.504883]
time: 185096, epoch: 1, step: 310, outputs are [6.6320133]
time: 185140, epoch: 1, step: 311, outputs are [6.584549]
time: 185189, epoch: 1, step: 312, outputs are [6.795508]
time: 185239, epoch: 1, step: 313, outputs are [6.3978667]
time: 185289, epoch: 1, step: 314, outputs are [6.139299]
time: 185335, epoch: 1, step: 315, outputs are [6.330177]
time: 185389, epoch: 1, step: 316, outputs are [6.2340093]
time: 185441, epoch: 1, step: 317, outputs are [6.3166256]
time: 185492, epoch: 1, step: 318, outputs are [6.348081]
time: 185548, epoch: 1, step: 319, outputs are [6.3757353]
time: 185599, epoch: 1, step: 320, outputs are [6.658346]
time: 185639, epoch: 1, step: 321, outputs are [6.748312]
time: 185689, epoch: 1, step: 322, outputs are [6.317202]
time: 185735, epoch: 1, step: 323, outputs are [6.714938]
time: 185781, epoch: 1, step: 324, outputs are [6.6763444]
time: 185828, epoch: 1, step: 325, outputs are [6.689417]
time: 185884, epoch: 1, step: 326, outputs are [6.6932325]
time: 185931, epoch: 1, step: 327, outputs are [6.968147]
time: 185978, epoch: 1, step: 328, outputs are [6.342898]
time: 186019, epoch: 1, step: 329, outputs are [6.386381]
time: 186060, epoch: 1, step: 330, outputs are [6.471631]
time: 186105, epoch: 1, step: 331, outputs are [6.3521028]
time: 186152, epoch: 1, step: 332, outputs are [6.434032]
time: 186199, epoch: 1, step: 333, outputs are [6.6607547]
time: 186252, epoch: 1, step: 334, outputs are [6.7430773]
time: 186297, epoch: 1, step: 335, outputs are [6.4418197]
time: 186352, epoch: 1, step: 336, outputs are [6.6862273]
time: 186400, epoch: 1, step: 337, outputs are [6.5766907]
time: 186443, epoch: 1, step: 338, outputs are [6.6268234]
time: 186485, epoch: 1, step: 339, outputs are [6.410491]
time: 186525, epoch: 1, step: 340, outputs are [6.4280357]
time: 186571, epoch: 1, step: 341, outputs are [6.4754443]
